city,year,weekofyear,week_start_date,humidity_percent,avg_temp_c,max_temp_c,min_temp_c,precip_mm
sj,1992,6,1992-02-05,77.05857143,24.71428571,30.6,20,3
sj,1992,7,1992-02-12,82.87571429,26.02857143,32.2,20,1.3
sj,1992,8,1992-02-19,77.29571429,25.75714286,33.9,21.7,8.9
sj,1992,9,1992-02-26,76.03714286,25.28571429,29.4,21.7,16
sj,1992,10,1992-03-04,76.87857143,25.65714286,31.1,20.6,2.9
sj,1992,11,1992-03-11,78.05714286,25.78571429,31.7,21.7,5.9
sj,1992,12,1992-03-18,77.50571429,26.1,31.1,21.7,4.8
sj,1992,13,1992-03-25,80.23857143,26.2,32.2,22.2,2.3
sj,1992,14,1992-04-01,78.06714286,26.22857143,31.1,21.7,24.1
sj,1992,15,1992-04-08,76.37571429,26.98571429,32.8,21.7,0
sj,1992,16,1992-04-15,84.18428571,26.81428571,31.7,22.8,24.5
sj,1992,17,1992-04-22,78.42571429,26.67142857,31.7,22.2,4.6
sj,1992,18,1992-04-29,74.93285714,27.37142857,33.9,23.3,1.6
sj,1992,19,1992-05-06,78.48,26.78571429,33.9,22.2,32
sj,1992,20,1992-05-13,78.38142857,27.44285714,31.1,22.8,8.1
sj,1992,21,1992-05-20,85.64714286,27.85714286,32.8,23.3,22.1
sj,1992,22,1992-05-27,87.30142857,27.42857143,31.7,23.9,80.2
sj,1992,23,1992-06-03,85.82714286,27.5,31.7,22.8,103.9
sj,1992,24,1992-06-10,84.87,28.2,32.8,24.4,102.4
sj,1992,25,1992-06-17,84.24857143,28.28571429,32.8,24.4,29.8
sj,1992,26,1992-06-24,82.77714286,28.48571429,32.8,23.9,5.4
sj,1992,27,1992-07-01,79.33428571,29.22857143,33.3,25.6,3.1
sj,1992,28,1992-07-08,78.49714286,28.72857143,32.8,24.4,1.8
sj,1992,29,1992-07-15,80.15,27.62857143,31.7,23.9,45.2
sj,1992,30,1992-07-22,81.98428571,27.55714286,31.7,23.3,41
sj,1992,31,1992-07-29,82.34571429,27.97142857,32.2,22.8,14.2
sj,1992,32,1992-08-05,80.78428571,28.07142857,31.7,23.3,16.6
sj,1992,33,1992-08-12,82.75,27.67142857,31.7,22.8,41.9
sj,1992,34,1992-08-19,82.31714286,28.21428571,33.9,24.4,42.7
sj,1992,35,1992-08-26,78.86428571,28.27142857,32.2,23.9,3.1
sj,1992,36,1992-09-02,79.20428571,28.72857143,34.4,24.4,6.5
sj,1992,37,1992-09-09,79.93,28.02857143,32.2,23.9,23.6
sj,1992,38,1992-09-16,79.52571429,28.14285714,32.8,23.9,28.9
sj,1992,39,1992-09-23,83.7,27.55714286,32.8,23.3,60.9
sj,1992,40,1992-09-30,81.29714286,27.97142857,33.3,23.3,22.6
sj,1992,41,1992-10-07,79.73714286,28.88571429,35,23.9,0
sj,1992,42,1992-10-14,77.83428571,29.15714286,33.3,25,8
sj,1992,43,1992-10-21,77.87571429,28.65714286,32.8,23.9,11.9
sj,1992,44,1992-10-28,78.91,28.67142857,33.3,23.9,18.6
sj,1992,45,1992-11-04,81.05285714,28.38571429,33.3,22.2,14.2
sj,1992,46,1992-11-11,79.01285714,27.54285714,31.7,22.8,161
sj,1992,47,1992-11-18,80.25571429,26.68571429,31.1,22.2,26.1
sj,1992,48,1992-11-25,85.58714286,27.4,32.8,23.3,46.3
sj,1992,49,1992-12-02,82.64857143,26.62857143,31.1,22.2,62.6
sj,1992,50,1992-12-09,78.31142857,26.91428571,31.1,22.2,9.4
sj,1992,51,1992-12-16,76.66142857,26.68571429,32.2,21.7,47.5
sj,1992,52,1992-12-23,76.75714286,25.91428571,29.4,21.7,5.5
sj,1993,53,1993-01-01,,,,,
sj,1993,1,1993-01-08,81.87857143,25.87142857,30.6,21.7,28
sj,1993,2,1993-01-15,77.14428571,24.5,28.3,20.6,23.5
sj,1993,3,1993-01-22,76.98428571,24.85714286,30,20,6.6
sj,1993,4,1993-01-29,77.86285714,24.4,28.9,20,15.2
sj,1993,5,1993-02-05,80.61,26.67142857,31.7,19.4,9.4
sj,1993,6,1993-02-12,79.82571429,25.42857143,30,20.6,2.1
sj,1993,7,1993-02-19,76.53285714,26.27142857,31.7,20.6,2.8
sj,1993,8,1993-02-26,76.21714286,25.7,32.2,20.6,5.5
sj,1993,9,1993-03-05,73.22571429,25.57142857,30,21.1,2.3
sj,1993,10,1993-03-12,70.64571429,24.9,29.4,19.4,2.5
sj,1993,11,1993-03-19,77.78428571,26.92857143,33.3,21.1,0.5
sj,1993,12,1993-03-26,76.84857143,26.14285714,31.1,20.6,12.8
sj,1993,13,1993-04-02,80.79571429,26.88571429,32.8,22.2,4.1
sj,1993,14,1993-04-09,78.56428571,27.2,32.8,21.1,4.6
sj,1993,15,1993-04-16,78.96142857,27.07142857,33.3,22.2,11.7
sj,1993,16,1993-04-23,81.27142857,25.87142857,31.1,21.7,8.4
sj,1993,17,1993-04-30,81.65571429,27.48571429,32.8,22.2,28.3
sj,1993,18,1993-05-07,84.08142857,26.94285714,32.2,22.2,114.3
sj,1993,19,1993-05-14,84.52142857,26.47142857,31.1,22.8,18.3
sj,1993,20,1993-05-21,82.43571429,28.22857143,33.9,23.3,4.6
sj,1993,21,1993-05-28,85.39857143,28.94285714,33.9,23.3,32.1
sj,1993,22,1993-06-04,86.9,27.64285714,31.1,22.8,58.3
sj,1993,23,1993-06-11,80.61571429,29.9,34.4,25,1.3
sj,1993,24,1993-06-18,81.49285714,27.72857143,32.2,23.3,57.9
sj,1993,25,1993-06-25,82.60857143,27.34285714,33.3,22.2,60.4
sj,1993,26,1993-07-02,82.83285714,28.84285714,32.8,25,7.2
sj,1993,27,1993-07-09,81.14857143,28.24285714,32.8,24.4,21
sj,1993,28,1993-07-16,81.21571429,27.88571429,32.2,22.2,92.2
sj,1993,29,1993-07-23,79.15,28.5,33.3,24.4,13
sj,1993,30,1993-07-30,85.55142857,27.94285714,32.2,22.2,71.4
sj,1993,31,1993-08-06,82.88285714,29.02857143,32.8,24.4,0.8
sj,1993,32,1993-08-13,81.01285714,29.02857143,32.8,25,18.1
sj,1993,33,1993-08-20,83.07571429,29.41428571,33.9,24.4,12.7
sj,1993,34,1993-08-27,81.72714286,28.97142857,33.3,24.4,17.1
sj,1993,35,1993-09-03,79.62857143,28.65714286,32.8,24.4,28.8
sj,1993,36,1993-09-10,80.68428571,28.42857143,32.8,23.3,43.4
sj,1993,37,1993-09-17,81.79428571,28.6,32.8,23.9,23.1
sj,1993,38,1993-09-24,80.90142857,28.15714286,32.8,23.3,8.7
sj,1993,39,1993-10-01,82.61,28.28571429,32.8,23.9,26.7
sj,1993,40,1993-10-08,83.84142857,28.01428571,33.3,23.3,16.8
sj,1993,41,1993-10-15,81.10285714,28.4,32.2,24.4,27
sj,1993,42,1993-10-22,78.80714286,28.2,33.3,23.9,6.4
sj,1993,43,1993-10-29,80.39857143,28.07142857,32.8,23.9,25.4
sj,1993,44,1993-11-05,79.50428571,27.9,32.8,23.3,4.1
sj,1993,45,1993-11-12,79.03714286,27.64285714,32.8,23.3,6.7
sj,1993,46,1993-11-19,80.37714286,27.17142857,31.7,22.8,48.8
sj,1993,47,1993-11-26,82.15428571,26.88571429,31.7,22.2,46.4
sj,1993,48,1993-12-03,80.46571429,26.78571429,33.3,21.1,5.5
sj,1993,49,1993-12-10,80.30285714,26.52857143,30.6,21.1,20.8
sj,1993,50,1993-12-17,76.85428571,26.22857143,31.1,21.1,7.7
sj,1993,51,1993-12-24,78.82857143,26.04285714,31.7,21.7,37.6
sj,1994,52,1994-01-01,78.01857143,26.97142857,32.8,21.7,0.3
sj,1994,1,1994-01-08,75.74285714,25.5,29.4,21.1,41
sj,1994,2,1994-01-15,79.15,25.45714286,29.4,21.1,13.4
sj,1994,3,1994-01-22,75.98428571,25.08571429,30,20,26.6
sj,1994,4,1994-01-29,78.38142857,25.32857143,29.4,20.6,9.7
sj,1994,5,1994-02-05,76.82571429,25.78571429,30,20.6,3.6
sj,1994,6,1994-02-12,75.31,25.25714286,29.4,21.1,9.1
sj,1994,7,1994-02-19,72.88571429,25.7,30.6,21.1,9.7
sj,1994,8,1994-02-26,74.78857143,25.74285714,30.6,20.6,7.9
sj,1994,9,1994-03-05,77.91571429,25.31428571,30.6,20.6,16.2
sj,1994,10,1994-03-12,81.51857143,25.88571429,31.1,21.7,15.8
sj,1994,11,1994-03-19,75.43571429,25.84285714,31.1,21.1,16.8
sj,1994,12,1994-03-26,74.64714286,26.72857143,32.8,20.6,0
sj,1994,13,1994-04-02,75.08285714,26.7,33.3,21.1,1
sj,1994,14,1994-04-09,73.95142857,26.42857143,31.1,21.7,2.3
sj,1994,15,1994-04-16,79.51714286,25.97142857,30,21.1,16.7
sj,1994,16,1994-04-23,75.24714286,25.97142857,30,22.2,28.7
sj,1994,17,1994-04-30,74.51571429,26.67142857,31.7,22.2,13.2
sj,1994,18,1994-05-07,80.35285714,27.75714286,33.3,22.8,10.5
sj,1994,19,1994-05-14,80.46285714,27.41428571,31.7,23.9,3.3
sj,1994,20,1994-05-21,83.13571429,27.71428571,33.3,22.8,29.3
sj,1994,21,1994-05-28,79.50285714,29.1,33.9,24.4,6.9
sj,1994,22,1994-06-04,77.66428571,28.57142857,33.3,23.3,1.6
sj,1994,23,1994-06-11,80.38285714,28.22857143,32.8,23.3,67.3
sj,1994,24,1994-06-18,78.29285714,28.32857143,32.8,24.4,5.4
sj,1994,25,1994-06-25,78.70428571,28.07142857,32.8,23.9,23.4
sj,1994,26,1994-07-02,79.02714286,28.4,32.8,23.9,10.2
sj,1994,27,1994-07-09,78.80571429,27.92857143,32.2,23.9,19.5
sj,1994,28,1994-07-16,77.30285714,28.17142857,32.2,23.9,28.7
sj,1994,29,1994-07-23,77.10285714,28.25714286,32.8,23.9,9.8
sj,1994,30,1994-07-30,75.43571429,28.51428571,33.3,24.4,1
sj,1994,31,1994-08-06,77.79571429,28.25714286,33.3,23.9,48.5
sj,1994,32,1994-08-13,78.58428571,28.38571429,33.3,23.9,3.6
sj,1994,33,1994-08-20,76.43714286,28.51428571,33.3,24.4,20.4
sj,1994,34,1994-08-27,76.92,28.57142857,32.8,24.4,4.3
sj,1994,35,1994-09-03,78.48285714,29.42857143,33.9,25.6,11
sj,1994,36,1994-09-10,79.13857143,29.28571429,33.3,24.4,14.4
sj,1994,37,1994-09-17,78.75,28.55714286,34.4,23.9,50.8
sj,1994,38,1994-09-24,79.31428571,28.37142857,32.2,24.4,34.3
sj,1994,39,1994-10-01,80.37285714,28.01428571,33.9,23.3,31.5
sj,1994,40,1994-10-08,74.11714286,28.71428571,34.4,24.4,8.2
sj,1994,41,1994-10-15,78.22571429,28.32857143,35,23.9,39.2
sj,1994,42,1994-10-22,76.34857143,28.57142857,35,23.9,5.4
sj,1994,43,1994-10-29,85.41714286,27.67142857,32.8,23.3,39.2
sj,1994,44,1994-11-05,78.68571429,28.15714286,32.2,24.4,1.9
sj,1994,45,1994-11-12,80.09571429,27.31428571,31.7,22.2,54.5
sj,1994,46,1994-11-19,83.58428571,27.28571429,32.8,22.2,47.5
sj,1994,47,1994-11-26,83.50285714,27.85714286,33.9,23.3,49.3
sj,1994,48,1994-12-03,78.56,26.88571429,31.7,21.1,35.9
sj,1994,49,1994-12-10,85.57,26.37142857,30,22.2,58.2
sj,1994,50,1994-12-17,75.45571429,26.58571429,31.7,21.7,7.4
sj,1994,51,1994-12-24,76.91428571,26.64285714,31.7,22.2,12.9
sj,1995,52,1995-01-01,82.86714286,27.31428571,32.8,22.2,9.2
sj,1995,1,1995-01-08,75.83857143,25.7,31.7,20,40.4
sj,1995,2,1995-01-15,74.04714286,25.77142857,30,21.7,10.5
sj,1995,3,1995-01-22,79.55285714,24.75714286,28.9,20,29
sj,1995,4,1995-01-29,78.33,26.12857143,32.8,20.6,9.9
sj,1995,5,1995-02-05,81.40428571,25.5,31.7,21.1,26.9
sj,1995,6,1995-02-12,74.65571429,26.08571429,32.8,20,0
sj,1995,7,1995-02-19,77.02142857,26.62857143,32.2,20.6,2.8
sj,1995,8,1995-02-26,76.63428571,25.92857143,31.7,21.7,29.5
sj,1995,9,1995-03-05,79.81714286,25.24285714,30.6,20,51.7
sj,1995,10,1995-03-12,82.05285714,25.5,30,21.1,16.9
sj,1995,11,1995-03-19,77.02,25.25714286,31.7,21.1,16.5
sj,1995,12,1995-03-26,69.86142857,24.62857143,31.7,18.9,2.3
sj,1995,13,1995-04-02,67.36428571,25.24285714,30,20,4.1
sj,1995,14,1995-04-09,73.4,25.97142857,32.8,19.4,0
sj,1995,15,1995-04-16,77.60571429,27.28571429,32.8,22.8,0
sj,1995,16,1995-04-23,77.32142857,26.65714286,32.8,21.1,72
sj,1995,17,1995-04-30,71.93714286,26.32857143,31.1,21.7,1
sj,1995,18,1995-05-07,76.07285714,27.84285714,34.4,22.2,2.8
sj,1995,19,1995-05-14,80.26142857,27.77142857,34.4,22.8,29.7
sj,1995,20,1995-05-21,80.86571429,26.91428571,31.1,21.7,101.6
sj,1995,21,1995-05-28,81.44714286,27.22857143,31.7,22.2,97.5
sj,1995,22,1995-06-04,80.72714286,27.7,33.3,23.3,9.1
sj,1995,23,1995-06-11,84.34571429,27.3,31.1,22.8,35.5
sj,1995,24,1995-06-18,79.13714286,27.77142857,32.8,22.8,43.5
sj,1995,25,1995-06-25,81.34,28.84285714,33.3,24.4,10.5
sj,1995,26,1995-07-02,79.38,29.21428571,33.9,24.4,15.8
sj,1995,27,1995-07-09,75.06571429,29.65714286,34.4,25,16
sj,1995,28,1995-07-16,81.96,29.28571429,34.4,24.4,21.4
sj,1995,29,1995-07-23,81.09,29.22857143,33.9,25,30.6
sj,1995,30,1995-07-30,85.08857143,28.55714286,33.3,23.9,43.3
sj,1995,31,1995-08-06,84.37571429,28.7,33.9,23.9,30.1
sj,1995,32,1995-08-13,80.39714286,29,33.9,23.3,27.3
sj,1995,33,1995-08-20,82.62571429,30.07142857,34.4,25.6,8.7
sj,1995,34,1995-08-27,83.49142857,28.42857143,33.3,23.3,66
sj,1995,35,1995-09-03,82.22571429,29.11428571,32.2,24.4,12.8
sj,1995,36,1995-09-10,78.14571429,29.57142857,34.4,23.9,20.4
sj,1995,37,1995-09-17,82.91142857,29.37142857,35,24.4,77.1
sj,1995,38,1995-09-24,83.31428571,29.58571429,35.6,25,71.2
sj,1995,39,1995-10-01,81.85428571,29.95714286,34.4,25.6,13.3
sj,1995,40,1995-10-08,83.13571429,28.05714286,32.2,23.9,45.6
sj,1995,41,1995-10-15,84.20714286,28.38571429,32.2,24.4,19.1
sj,1995,42,1995-10-22,80.66428571,27.84285714,33.9,23.3,39.1
sj,1995,43,1995-10-29,83.21428571,27.47142857,32.2,23.3,53.6
sj,1995,44,1995-11-05,80.86428571,28.04285714,33.9,23.3,13.5
sj,1995,45,1995-11-12,79.40428571,27.22857143,31.7,23.3,53.6
sj,1995,46,1995-11-19,77.63857143,27.15714286,31.1,22.8,2.8
sj,1995,47,1995-11-26,78.14142857,27.31428571,32.2,22.8,5.9
sj,1995,48,1995-12-03,80.67714286,27.2,33.3,22.8,13.5
sj,1995,49,1995-12-10,76.33285714,27.01428571,31.1,22.2,14.9
sj,1995,50,1995-12-17,79.98571429,26.61428571,30.6,22.2,20.9
sj,1995,51,1995-12-24,77.63714286,25.71428571,30,22.2,53.9
sj,1996,1,1996-01-01,84.13571429,25.18571429,28.3,21.7,46.5
sj,1996,2,1996-01-08,79.32142857,26.25714286,31.1,21.7,24.6
sj,1996,3,1996-01-15,82.51571429,25.97142857,31.1,21.7,40.6
sj,1996,4,1996-01-22,80.47714286,25.58571429,28.9,22.2,47.7
sj,1996,5,1996-01-29,75.69285714,24.78571429,28.3,20,32
sj,1996,6,1996-02-05,74.96142857,25.15714286,29.4,21.1,10.8
sj,1996,7,1996-02-12,79.66428571,25.31428571,31.1,21.1,25.5
sj,1996,8,1996-02-19,77.78285714,25.97142857,31.7,21.1,22.1
sj,1996,9,1996-02-26,79.19857143,25.55714286,29.4,21.1,4.6
sj,1996,10,1996-03-04,73.06,25.57142857,30.6,20.6,3.3
sj,1996,11,1996-03-11,76.48285714,26.24285714,31.1,21.7,12.7
sj,1996,12,1996-03-18,80.64714286,26.2,32.2,22.2,14.2
sj,1996,13,1996-03-25,73.42571429,26.4,32.2,20.6,0.5
sj,1996,14,1996-04-01,79.02,25.92857143,31.1,21.7,21.6
sj,1996,15,1996-04-08,79.77571429,26.22857143,32.2,21.7,80.5
sj,1996,16,1996-04-15,78.31142857,26.12857143,32.2,21.1,8.9
sj,1996,17,1996-04-22,74.17142857,26.12857143,30,22.2,8.2
sj,1996,18,1996-04-29,76.39428571,26.01428571,30,22.2,25.6
sj,1996,19,1996-05-06,74.79285714,25.44285714,29.4,21.7,10.6
sj,1996,20,1996-05-13,82.84,25.84285714,29.4,22.2,44.8
sj,1996,21,1996-05-20,82.78,26.72857143,30.6,22.8,0.8
sj,1996,22,1996-05-27,82.75142857,28.11428571,33.3,23.3,9.4
sj,1996,23,1996-06-03,82.36857143,27.81428571,32.2,23.9,2.3
sj,1996,24,1996-06-10,82.23571429,26.94285714,31.1,23.3,40.9
sj,1996,25,1996-06-17,83.32285714,26.44285714,30.6,22.8,84.6
sj,1996,26,1996-06-24,80.90714286,27.68571429,32.8,23.3,19.3
sj,1996,27,1996-07-01,80.06142857,27.94285714,32.2,24.4,5.9
sj,1996,28,1996-07-08,81.83571429,28.01428571,32.8,23.3,43.5
sj,1996,29,1996-07-15,84.32285714,27.27142857,31.1,23.9,53.6
sj,1996,30,1996-07-22,79.19857143,27.51428571,31.1,23.9,9.9
sj,1996,31,1996-07-29,81.91,27.17142857,30,23.9,79.3
sj,1996,32,1996-08-05,85.01,27.67142857,30.6,24.4,31.9
sj,1996,33,1996-08-12,80.93571429,28.01428571,31.7,22.8,14.3
sj,1996,34,1996-08-19,84.34428571,26.78571429,31.1,22.8,80.6
sj,1996,35,1996-08-26,79.27285714,27.75714286,33.3,23.9,22.6
sj,1996,36,1996-09-02,81.54,28.48571429,33.3,23.3,35.1
sj,1996,37,1996-09-09,81.98571429,27.94285714,32.8,23.3,51.1
sj,1996,38,1996-09-16,85.69,27.04285714,31.7,22.8,305.9
sj,1996,39,1996-09-23,82.63857143,27.87142857,32.8,23.9,7.3
sj,1996,40,1996-09-30,79.17714286,27.41428571,31.1,23.9,20.9
sj,1996,41,1996-10-07,81.26,27.28571429,31.7,23.3,17.6
sj,1996,42,1996-10-14,79.95714286,27.57142857,31.7,23.3,8.9
sj,1996,43,1996-10-21,80.73428571,29.04285714,33.9,24.4,6.6
sj,1996,44,1996-10-28,81.13,27.04285714,31.1,21.7,28.9
sj,1996,45,1996-11-04,84.11142857,26.84285714,31.1,22.2,35.6
sj,1996,46,1996-11-11,83.64,26.15714286,30,22.2,25
sj,1996,47,1996-11-18,83.39714286,25.87142857,29.4,22.2,88.3
sj,1996,48,1996-11-25,86.07142857,25.61428571,28.3,22.8,39.5
sj,1996,49,1996-12-02,75.29285714,25.01428571,28.3,21.7,19.6
sj,1996,50,1996-12-09,73.25285714,24.8,30,20.6,3.1
sj,1996,51,1996-12-16,79.37285714,24.95714286,28.9,21.1,25.4
sj,1996,52,1996-12-23,71.06285714,24.51428571,27.8,19.4,4
sj,1997,1,1997-01-01,75.67857143,26.62857143,31.7,21.7,0.5
sj,1997,2,1997-01-08,80.3,24.67142857,27.8,21.1,29
sj,1997,3,1997-01-15,74.94,24.38571429,28.9,19.4,0.6
sj,1997,4,1997-01-22,80.09285714,24.9,28.9,21.1,2
sj,1997,5,1997-01-29,82.38857143,24.62857143,28.3,21.1,58.9
sj,1997,6,1997-02-05,75.07571429,23.7,27.8,19.4,49.5
sj,1997,7,1997-02-12,80.94714286,24.57142857,27.8,21.1,25.4
sj,1997,8,1997-02-19,76.71285714,24.68571429,28.3,21.1,22.9
sj,1997,9,1997-02-26,74.63142857,24.47142857,27.8,21.1,30
sj,1997,10,1997-03-05,74.25571429,24.57142857,27.8,21.1,15.5
sj,1997,11,1997-03-12,75.37285714,24.35714286,27.8,21.1,13.8
sj,1997,12,1997-03-19,76.90428571,24.74285714,28.9,21.1,15.2
sj,1997,13,1997-03-26,74.11857143,25.31428571,31.1,20.6,1.5
sj,1997,14,1997-04-02,74.20571429,25.08571429,29.4,20.6,2.9
sj,1997,15,1997-04-09,74.85,25.35714286,31.1,21.7,0.6
sj,1997,16,1997-04-16,71.55857143,25.9,31.7,20,0.8
sj,1997,17,1997-04-23,75.41714286,27.67142857,34.4,21.1,0
sj,1997,18,1997-04-30,76.95285714,27.77142857,33.9,22.8,0.5
sj,1997,19,1997-05-07,75.87857143,27.92857143,33.9,23.3,0.3
